BonePb,dieldrin,dde,tde,pcb105,pcb118,pcb128,pcb138,pcb153,pcb156,pcb170,pcb180,pcb187,hcbenz,Age,Sex,Year,weight,length,xcoord,ycoord,region,country
4.435,83.8,135.2,13,3.1,7.6,6.2,38.4,64.1,3.8,19,42.8,49.8,6.9,Adult,Male,2000,9.06,1113,300900,252900,EA Wales,Wales
5.393,65.6,152.1,14.4,10.8,26.8,12.9,49.2,69.8,7.7,19.4,41.4,68,9.8,Subadult,Female,2000,10.4,1175,509700,453800,North East Region,England
3.961,118.7,220.1,21.4,7.4,20.6,11,74,130,7,26,75.5,65.8,4.6,Adult,Male,2000,9.26,1145,314966,234540,EA Wales,Wales
3.787,218.7,1226.7,126.4,23.3,79.9,40.2,240.6,288.9,39.4,116.4,208.9,191.3,29.7,Adult,Male,2000,10.54,1180,391400,251800,Midlands Region,England
4.683,45.9,379.8,21,3.1,7.9,4,17.4,26.5,3.7,10,19.7,31.4,7.2,Adult,Male,2000,6.3,990,634300,255700,Anglian Region,England
4.406,48.5,106.4,13,5.4,16.2,9.8,50.5,78.4,8.6,26.9,49.8,47.7,12.8,Adult,Male,2000,4.4,950,290600,339200,EA Wales,Wales
4.743,443.5,2475.8,330.3,17.3,42,26.8,112.2,148.5,23.5,52.6,104.6,119.3,23,Adult,Male,2000,6.5,1075,281200,353500,EA Wales,Wales
6.227,28,38.38,4.5,0.5,,0.5,2.925,9.45,0.5,2.375,9.3,8.25,1.3,Juvenile,Female,2000,5.8,995,368697,517354,North West Region,England
5.083,48.1,26.9,0.5,0.5,,1,4.675,8.875,0.5,1.375,4.45,4.175,3.68,Adult,Female,2000,6.9,1020,327400,254250,EA Wales,England
4.74,47.775,65.85,5.45,2.43,8.15,4.2,20,33.125,2,4.875,12.175,26.85,5.13,Subadult,Male,2000,4.58,955,249342,75737,South West Region,England
4.513,13.825,5.93,0.5,0.5,1.975,1.4,8.55,12.275,1.43,6.05,11.625,9.975,3.1,Adult,Female,2000,5.24,990,340100,94100,South West Region,England
3.884,336.55,161.75,10.33,4.08,11.05,6.58,32.425,47.775,6.3,25.75,51.35,116.9,10.03,Adult,Male,2000,8.04,1095,348500,137700,South West Region,England
3.611,94.55,89.33,7.28,,7.2,4.58,25.15,29.65,6.05,14.875,20.65,26.175,4.5,Adult,Male,2001,5.38,1180,303200,115900,South West Region,England
4.908,24.05,11.75,0.5,0.5,2.35,1.98,7.725,13.65,1.33,3.3,11.5,12.775,1.65,Subadult,Male,2001,4.9,960,351600,125400,South West Region,England
5.063,18.45,43,0.5,23.8,58.325,19.78,75.125,68.3,10.65,13.55,26.275,22.225,4.3,Adult,Male,2001,8.9,1115,319400,129100,South West Region,England
5.017,201.15,208.72,22.07,13.18,65.5,57.1,241.15,379.425,40.27,134.6,198.1,521.975,20.28,Adult,Male,2001,7.66,1195,329500,102400,South West Region,England
5.854,57.8,41,0.5,3.63,9.225,8,47.425,72.3,8,38.875,71.9,61.85,5.53,Subadult,Male,2000,8.08,1135,336400,152100,South West Region,England
4.78,31.25,50.13,0.5,,7.1,3.33,19.175,28.025,3.63,11.725,23.625,31.45,5.23,Subadult,Male,2001,6.94,1050,368200,134900,South West Region,England
4.363,71.325,187.2,13.05,9.2,40.55,13.03,93.8,150.4,12.9,35.675,70.325,85.35,29.5,Adult,Female,2001,8.1,1095,286400,74100,South West Region,England
5.224,81.85,279.18,15.4,4.73,16.95,9.63,61.725,82.35,7.65,28.725,55.925,63.425,16.45,Subadult,Male,2001,9.66,1200,312350,221450,EA Wales,Wales
4.415,320.8,543.48,3.85,337.38,1280,197.08,1010.625,1075.4,211.97,347.675,903.35,1268.725,88.85,Adult,Male,2001,8.96,1200,574795,209979,Anglian Region,England
4.28,51.55,73.2,1.33,,6.85,2.13,10.425,16,3.05,7.15,16.475,13.3,4.53,Adult,Male,2001,4.4,950,321200,276500,Midlands Region,Wales
3.833,43.175,55.3,3.13,5.63,18.95,5,42.65,59.5,8.6,25,53.55,35.55,6.4,Adult,Male,2001,7.6,1035,504200,233400,Anglian Region,England
5.188,11.4,85.7,0.5,0.5,5.625,1.75,9.05,11.05,3,7,10.5,9.925,2.15,Subadult,Male,2001,5.5,1010,424500,587600,North East Region,England
4.439,146.925,217.13,27.7,8.18,36.025,14.4,79.975,125.325,7.95,20.025,39.05,86.75,26.38,Adult,Male,2001,5,1005,424500,605700,North East Region,England
4.27,,71.48,6.78,5.08,14.925,6.4,33.125,47.75,3.33,8.75,17.5,32.5,15.5,Adult,Male,2001,9.42,1150,457030,132260,Southern Region,England
5.461,191,132,124,11.9,28.3,,92,110,11.7,,81,,342,Subadult,Male,2001,5.7,1024,251500,211700,EA Wales,Wales
4.598,786,7110,430,35.2,220,,106,640,25.6,,186,,126,Subadult,Male,2002,2,750,,,North East Region,
7.538,1020,153,43.7,29,167,,928,42,167,,484,,35,Adult,Female,2002,10.4,1160,260700,202400,EA Wales,Wales
4.942,82.4,73.9,4.7,4.7,14.1,,37.8,55.5,5.5,,33.2,,9.4,Adult,Male,2002,5.5,1020,250000,200000,EA Wales,Wales
3.665,213,216,154,9.4,25.1,,72,89,9.9,,52.5,,14.2,Subadult,Male,2002,8.7,1180,276000,207600,EA Wales,Wales
5.618,367,406,51.6,15.8,92.4,,327,319,,,192,,29.2,Adult,Female,2002,9.4,1086,317500,297300,Midlands Region,Wales
3.81,112,277,16.9,,14.6,,47.9,90.3,3.4,,54.2,,16.6,Adult,Male,2001,9,1090,326300,258200,EA Wales,Wales
4.65,116,123,,,3.8,,10.5,11.6,,,6.6,,10.7,Juvenile,Male,2002,3.5,810,324500,275700,Midlands Region,Wales
2.95,239,306,24.6,10,24.8,,52.5,56.5,9,,60.2,,17.8,Juvenile,Male,2002,9.2,1130,256900,190200,EA Wales,Wales
4.58,162,247,10.7,,20.8,,76,78,20.8,,75,,10.4,Subadult,Female,2002,6.5,1140,240000,240000,EA Wales,Wales
3.92,138,604,32.1,18,55.4,,192,231,41.6,,217,,34.5,Adult,Male,2002,3.6,940,306600,250400,EA Wales,Wales
4.836,87.1,7.3,,3,8,,21.5,33.7,3.7,,32.6,,6.5,Subadult,Male,2002,6,1030,201400,238900,EA Wales,Wales
4.381,120,239,9.3,15.4,,,244,313,19.5,,308,,10.1,Adult,Male,2002,8.5,1190,326000,247000,EA Wales,England
3.766,445,145,23.3,6.5,15.6,,30.8,34.2,6.6,,22.1,,12.4,Subadult,Male,2000,6.8,1090,477900,292400,Anglian Region,England
4.817,144,182,22,5,16.7,,57.3,73.7,8.5,,52.9,,10.1,Adult,Female,2002,8,1130,261900,283700,EA Wales,Wales
4.025,134,94.4,53.5,10.8,32.4,,172,223,23.3,,222,,11.3,Adult,Female,2002,4.5,1150,195000,235000,EA Wales,Wales
4.202,102,50.9,,6.2,15.5,,37.9,30.1,5.9,,20.2,,,Adult,Female,2002,5.4,1030,212800,202200,EA Wales,Wales
7.02,114,216,24.2,19.1,65.7,,196,214,10.9,,161,,,Adult,Female,2002,5.9,990,230300,241400,EA Wales,Wales
4.789,166,146,,10,62.2,,449,310,36.3,,277,,21.6,Adult,Male,2002,4.7,1000,261500,280900,EA Wales,Wales
4.187,131,,66.6,6.9,16.5,,21.6,,3.5,,26.9,,,Adult,Male,2002,6.3,1080,,,EA Wales,
4.176,59.3,81.4,,,9,,57.8,36.8,,,30.9,,,Subadult,Female,2001,4.9,960,249500,221900,EA Wales,Wales
4.343,67.3,200,,19.6,98.5,,357,250,39.5,,214,,22.8,Adult,Male,2000,1.5,685,210000,215000,EA Wales,Wales
5.43,128,139,52.9,10.5,32.2,,209,126,22.2,,142,,,Subadult,Male,2002,8.9,1170,241200,205600,EA Wales,Wales
5.356,178,256,,25.8,81,,,249,31.6,,153,,34.6,Subadult,Male,2002,5.1,1080,225000,255000,EA Wales,Wales
4.587,41.3,78.3,22.9,3,6.7,,,,,,20.2,,25.4,Adult,Female,2002,5.8,1020,275000,215000,EA Wales,Wales
4.376,245,523,89.1,24.5,69.6,,85.2,,14.2,,65.8,,34.9,Subadult,Male,2002,2.2,680,422800,366600,Midlands Region,England
4.632,190,405,46.9,9.3,24.1,,99.6,,10.6,,93.8,,,Adult,Male,2002,9.9,1100,,,EA Wales,
3.929,287,791,83.5,12.7,40.9,,151,,25.2,,110,,23.5,Adult,Male,2002,9.9,1100,392200,637000,North East Region,England
3.167,,30.2,,14.7,39.5,,40.2,,9.1,,27.9,,,Adult,Male,2001,3.6,860,634600,324800,Anglian Region,England
3.701,226,121,43.1,14.9,34.4,,70.8,,16.7,,71.5,,,Adult,Female,2001,9.4,1110,599900,320300,Anglian Region,England
3.727,226,108,,10.4,30.2,,169,,34.6,,239,,,Adult,Male,2001,7.6,1080,218900,236800,EA Wales,Wales
3.794,42.9,74.3,,,,,8.9,,,,15.5,,,Subadult,Male,2002,8.1,,236400,212600,EA Wales,Wales
3.681,40.9,192,23.4,6.5,13.5,,,,7.5,,58.2,,,Adult,Male,2001,9.5,1140,264700,230400,EA Wales,Wales
2.978,,,,,5.5,,,,4.4,,28.4,,,Subadult,Male,2002,3.3,780,254500,210700,EA Wales,Wales
3.196,185,612,86.4,8.1,21.2,,298,320,9,,69.1,,,Subadult,Male,2001,8.3,1080,278000,364400,EA Wales,Wales
4.269,54.2,50.6,,4.4,11.2,,,,5,,15.6,,,Adult,Male,2002,6.6,1005,480000,470000,North East Region,England
3.91,60.9,87.7,,5.8,14.8,,,,7.1,,42.9,,,Adult,Male,2002,5,970,238400,237900,EA Wales,Wales
4.385,29.6,172,254,,4.1,,,,3.3,,10.2,,,Juvenile,Male,2002,5.7,1000,196600,219800,EA Wales,Wales
5.038,184,574,65.2,4.8,14.2,,,,,,39.5,,,Adult,Female,2002,8.4,1020,,,EA Wales,
3.598,257,186,,,4.7,,,,,,9.3,,,Adult,Male,2002,7,1070,,,EA Wales,
3.324,77.2,92.1,23.7,,5.5,,,,,,15.8,,,Adult,Male,2001,5,960,318000,268000,EA Wales,Wales
3.725,50.1,64.2,,3.3,5.6,,,,,,22.6,,,Adult,Male,2002,6.5,950,190000,220000,EA Wales,Wales
3.729,96.8,208,97.2,12.3,34.9,,,,19.4,,121,,26.5,Adult,Male,2002,9.5,1180,261400,338800,EA Wales,Wales
4.152,59,87.6,,,7.3,,,,,,16.5,,,Subadult,Male,2002,3.4,935,332500,258800,EA Wales,England
4.928,91,444,78.6,4.4,9.9,,7.4,,,,16.6,,,Subadult,Female,2002,3.4,840,297900,228700,EA Wales,Wales
4.91,89.5,312,43.8,17,59.5,,38,,23.2,,576,,,Subadult,Female,2002,4.8,990,308000,244000,EA Wales,Wales
3.859,61.1,131,56.9,6.2,14.5,,15.8,,6.8,,50.1,,,Adult,Male,2002,7.2,1000,,,EA Wales,Wales
4.383,61,221,40.7,,,,4.4,,,,8.9,,,Subadult,Male,2002,6,1030,327600,261200,EA Wales,Wales
3.727,22.6,124,,6.5,21.2,,52.6,63.1,10.1,,52.8,,,Adult,Male,2002,7.8,1160,195900,224100,EA Wales,Wales
4.77,59,92.2,36.7,4.5,13.7,,290,340,6,,55.8,,,Subadult,Male,2002,9,1130,,,EA Wales,
4.862,46.4,67.3,,7.1,15,,221,42.1,9.8,,50.3,,,Adult,Male,2002,5.2,950,,,EA Wales,
2.787,192,,64.5,21.1,47.8,,93.6,,13.7,,34.5,,25.5,Adult,Male,2003,4.3,845,593400,258100,Anglian Region,England
6.699,58.4,116,,15.2,42.3,,219,,15.2,,70.9,,,Adult,Female,2002,8.5,1175,226500,215500,EA Wales,Wales
3.019,270,,144,6,20,,129,,10,,57.6,,35.4,Adult,Female,2002,6.5,1060,298100,228800,EA Wales,Wales
3.573,141,402,55.7,20.4,70.4,,100,,14.6,,69.2,,,Adult,Male,2002,1.6,635,260800,328400,EA Wales,Wales
3.758,48.7,235,,11.2,34.5,,481,,12.6,,531,,20.3,Adult,Female,2002,8.5,1000,259100,245400,EA Wales,Wales
3.622,,,,,4.5,,18.4,,,,10.9,,,Subadult,Female,2002,8.8,1135,238100,254600,EA Wales,Wales
6.167,43.1,55.4,,5.6,15.3,,167,202,7.5,,194,,,Adult,Female,2002,9.2,1110,264300,268200,EA Wales,Wales
3.479,131,249,42.6,20.5,40.2,,512,518,23.1,,382,,,Adult,Male,2002,10.5,1200,244900,354900,EA Wales,Wales
3.294,505,308,115,26.9,67.6,,1090,581,89.8,,608,,24.8,Adult,Male,2002,6.5,1050,280000,210000,EA Wales,Wales
4.038,81.8,38.8,,4.4,22.3,,149,73,22.4,,55.3,,,Adult,Female,2003,4.5,950,,,EA Wales,Wales
4.011,69.2,255,,6.8,22.8,,98.3,65.5,7.3,,46.8,,,Adult,Male,2002,7,1060,250100,186500,EA Wales,Wales
4.454,,141,25.4,6.7,19,,31.1,53.2,4.7,,25.3,,,Adult,Male,2003,6,1040,350000,404600,North West Region,England
3.593,115.9,179.7,19.2,2.2,5.3,4.4,21.4,33.8,2.8,10.5,20.7,27.8,4.2,Subadult,Female,2003,5.5,990,279600,379300,EA Wales,Wales
4.011,27.3,28.7,4.2,4.2,10.5,5.5,37.8,62.6,5.4,19.9,39.1,18.6,6.2,Adult,Male,2003,,,257900,338150,EA Wales,Wales
3.312,163.7,1190.4,46.8,4.2,18.2,7,47.9,71.4,9.2,35.4,67.7,31.8,8.9,Adult,Male,2003,4.8,1120,333500,255800,EA Wales,England
2.956,47.6,124.2,11.4,7.2,15.4,10,35.2,54.5,10.5,25.7,49.7,23.8,7.4,Adult,Female,2003,6.62,1035,193600,207800,EA Wales,Wales
4.589,25.2,49.1,10.7,5.7,10.4,6.5,17.7,24.8,5.4,10.8,21.1,18.6,2.8,Adult,Female,2003,4.76,822,248710,217400,EA Wales,Wales
3.939,24.1,53.1,4,4.4,9.9,4.6,20.8,34.9,4.6,11.3,25.5,17,5.4,Adult,Female,2003,,1170,,,Anglian Region,
4.199,21.5,66,13,5.7,13,8.3,28.6,39.6,7.2,16.8,30.6,22.9,3.2,Subadult,Male,2003,8.5,1195,307800,225800,EA Wales,Wales
3.882,116.4,284.2,31.2,10.6,28.2,19,84.8,141,17.1,67.6,145.7,98,5.7,Adult,Male,2001,3.3,1020,262640,285320,EA Wales,Wales
4.153,30.3,98.3,4.5,16,103.1,40.6,478.5,927.5,58.4,189.6,475.3,99.4,19.8,Adult,Male,2002,4.7,1090,392200,159900,South West Region,England
3.816,13.3,36.9,8.7,8.2,14.6,8,32.4,50.8,9.8,19.6,42.4,16.8,2.6,Adult,Male,2003,6.86,1140,433432,129883,Southern Region,England
4.355,39.6,23,7.3,6,12.6,5.9,26.3,40.6,6.4,14.6,28.3,20.7,6.9,Adult,Female,2002,6.6,1000,419700,562300,North East Region,
3.704,105,133,36.9,1.15,3.01,1.44,11.1,15.1,1.44,4.81,12.9,14.1,3.52,Adult,Male,2002,6.6,1020,303400,227800,EA Wales,Wales
2.924,54.3,34.9,2.46,2.54,9.29,4.1,28.6,39,4.83,19.4,30.2,26.5,14,Adult,Male,2003,7,1045,260000,250000,EA Wales,Wales
5.027,236,154,0.5,5.87,18.1,12.6,97.4,122,18.9,81.3,102,49.7,9.9,Subadult,Female,2003,8.7,1150,420400,203500,Thames Region,England
3.622,255,596,0.5,30.8,101,32.9,243,247,38.7,121,209,225,33.8,Adult,Male,2003,9,1145,634300,309800,Anglian Region,England
4.188,52.9,100,26.4,2.56,7.65,2.37,15,23.8,1.82,5.72,13.7,20.7,7.54,Adult,Female,2001,5,970,,,EA Wales,
4,107,228,0.5,7.31,29.9,11.1,60.9,95,11.8,36.4,62.7,61.3,38.3,Juvenile,Male,2003,7.2,1110,336800,558800,North West Region,England
3.847,60.9,87.2,0.5,1.77,7,1.22,8.16,14.3,0.5,2.45,4.32,6.84,5.07,Adult,Male,2003,4.3,920,343000,576000,North West Region,England
3.334,51.5,58.1,0.5,4.94,14.8,11.9,59.8,57.9,14.1,,55.8,49.8,9.45,Subadult,Female,2003,5.1,1160,,,EA Wales,Wales
5.938,206,894,0.5,10.7,34.1,31.1,,102,22.4,37.1,43.2,61.8,22.8,Adult,Male,2003,7.4,1070,329900,331600,Midlands Region,England
4.795,91.4,59.1,0.5,4.66,19.4,2.58,24.8,50.4,1.57,4.41,7.48,26.8,28.3,Adult,Male,2003,6.1,1000,417100,181800,Thames Region,England
5.622,163,67.8,0.5,3.58,10.5,5.72,36.2,48.7,4.11,17.4,40.6,102,13.6,Adult,Male,2003,6.1,1055,460700,518700,North East Region,England
5.363,42.8,105,2.56,4.65,14.9,2.67,22.1,42.5,2.25,9.5,19.1,17.5,29.6,Adult,Female,2003,5.8,1050,454400,509200,North East Region,England
5.583,44.3,40.6,0.5,2.02,6.5,2.14,15.1,19.7,2.44,12.3,22.7,13.5,116,Adult,Male,2003,5.5,1000,302800,259700,EA Wales,Wales
3.961,55.5,115,0.5,6.27,27.9,12.5,76.1,108,6.17,13.6,28.1,74.5,18.5,Subadult,Female,2003,4.3,930,365900,558500,North East Region,England
4.586,178,664,55.5,24.6,156,41.4,170,227,39.5,114,196,151,100,Adult,Male,2003,7,1135,342600,265600,EA Wales,England
3.869,168,206,0.5,2.05,6.07,4.95,34.9,37.4,7.28,,42.5,41,8.71,Subadult,Female,2003,9,1130,307000,265000,EA Wales,Wales
4.013,585,899,0.5,10.4,26.3,0.5,88.5,98.7,11.4,16.6,59.8,69.6,24.9,Adult,Male,2003,10.2,1140,342650,265680,EA Wales,England
5.14,98.4,250,0.5,13,53.1,26.9,215,304,28.8,106,217,73.1,18.6,Adult,Female,2002,6.2,1120,264300,287200,EA Wales,Wales
3.909,90.7,128,17.2,2.25,6.29,2.62,16.5,22.5,2.68,8.91,16.6,13.2,17.8,Adult,Female,2003,5.4,1050,308800,232800,EA Wales,Wales
4.462,59.5,21.3,0.5,0.5,,0.5,2.84,5.77,0.5,1.61,1.49,10.9,2.91,Adult,Male,2003,5.7,1040,265100,329800,EA Wales,Wales
2.985,,,,,,,,,,,,,,Adult,Male,2003,9.5,1200,322800,217200,EA Wales,Wales
3.91,107,258,0.5,12,30.4,17,85.3,113,9.73,46.2,77,136,45.1,Adult,Male,2003,5.6,1020,210000,240000,EA Wales,Wales
5.303,110,281,0.5,8,25.1,10.9,51.5,63.3,6.11,17.7,32.1,66.7,29,Adult,Female,2003,3.4,820,210000,240000,EA Wales,Wales
3.916,429,655,0.5,22.3,57.9,39.1,175,190,21.9,44.5,164,327,31.8,Subadult,Female,2003,8.2,1130,361800,214900,EA Wales,England
4.331,31.1,76.5,0.5,1.98,7.38,2.99,24.7,33.1,4.6,21.9,37.7,19.5,14.4,Subadult,Female,2003,5.2,1030,269500,262900,EA Wales,Wales
4.86,99.2,154,0.5,1.35,,1.61,10.7,15.9,1.29,4.36,7.52,7.38,11.5,Adult,Male,2003,5.6,1070,300000,300000,Midlands Region,Wales
4.04,92.3,506,0.5,6.16,16.8,5.33,24.6,28.6,4.84,11.9,18.5,21.8,24.7,Adult,Female,2003,6.3,1038,627300,258400,Anglian Region,England
6.828,0.5,0.5,0.5,2.88,9.72,1.86,12.1,20.2,0.5,,5.37,18.7,17.9,Subadult,Male,2003,9,1140,334300,372300,EA Wales,England
4.169,247,658,45.4,25.2,68.9,31.5,183,253,29.4,81.1,156,162,25.7,Adult,Male,2003,9,1210,614500,312300,Anglian Region,England
4.189,72.4,184,4.81,13,43.8,21.3,176,317,12.7,51.4,165,94.1,25.6,Adult,Male,2003,9.6,1110,259500,194600,EA Wales,Wales
5.306,77.8,1100,0.5,8.51,26.6,8.61,54,78,7.81,14.1,31.4,48.1,33,Adult,Male,2003,6,1080,601900,259000,Anglian Region,England
3.829,114,187,0.5,9.54,35.2,25.3,193,302,20.7,118,252,154,26.7,Adult,Male,2003,9.6,1190,220000,245900,EA Wales,Wales
3.456,19.2,117,1.05,4.1,18.2,0.5,34.7,71.4,3.04,0.5,30.5,39.2,31.3,Adult,Male,2003,4.6,1000,307500,253000,EA Wales,Wales
3.55,107,193,19.5,2.94,7.89,4.24,28.3,36.2,3.9,15.2,27.9,25.8,9.99,Adult,Male,2003,9,1160,317300,297200,Midlands Region,Wales
3.903,34.2,204,18.7,10.6,37.8,18.7,138,186,19,51.7,80.9,46.6,37.6,Adult,Male,2003,,1120,480000,480000,North East Region,England
3.857,178,278,0.5,5.67,16.4,7.23,33.8,44.2,4.38,11.7,21.6,51.7,29.2,Subadult,Male,2003,7.7,1120,470000,460000,North East Region,England
4.411,147,152,0.5,2.66,5.21,4.23,18.5,28.5,3.55,20.2,40.3,80.5,4.49,Adult,Male,2003,5.5,1000,500000,490000,North East Region,England
4.338,260,479,0.5,11.4,35.8,22.7,136,205,13.5,37.4,86.9,143,28.6,Subadult,Male,2003,6.2,1020,471500,451800,North East Region,England
4.422,171,710,0.5,6.71,20.7,7.5,40.4,48.5,4.25,8.97,20.1,66.1,17.2,Adult,Female,2003,4.7,1010,321000,337700,EA Wales,Wales
4.154,911,518,0.5,,,,,,271,142,416,,334,Adult,Female,2003,10,1260,483700,403400,Midlands Region,England
4.069,205,358,52.3,3.25,8.57,4.61,37.2,53.3,3.23,8.52,29.3,52.5,17.5,Subadult,Male,2003,9,1090,350700,256800,EA Wales,England
3.92,128,200,23.7,3.15,8.85,4.38,21.7,24.6,3.59,10.5,16.7,19.5,20.8,Adult,Male,2003,6.6,1030,322800,260200,EA Wales,Wales
4.418,38.2,45.2,0.5,1.25,3.31,1.07,5.99,9.6,0.5,1.45,3.18,24,3.27,Adult,Female,2004,6.5,1050,254600,247300,EA Wales,Wales
3.273,65.9,79.8,0.5,1.89,6.23,2.41,20.5,37,3.2,17.3,39.4,30.6,15.2,Adult,Female,2004,7.4,1080,301900,257300,EA Wales,Wales
3.636,232,79.2,0.5,10.9,42.2,15.3,150,272,5.48,14,63.6,279,10.2,Adult,Male,2002,5.7,1025,332600,198500,EA Wales,Wales
3.332,0.5,4.16,0.5,10.6,34.2,14.9,113,172,11,44.9,110,127,32.1,Adult,Female,2004,7.2,1140,254600,247300,EA Wales,Wales
3.631,146,544,35.9,20.7,,29.7,,,15.2,46.6,130,,29.1,Subadult,Male,2004,2.6,,253100,221500,EA Wales,Wales
3.499,127,225,24.8,10.8,24.7,10,34.5,36.1,5.31,8.48,16.9,22.5,15.9,Adult,Female,2003,1.5,600,609500,254700,Anglian Region,England
2.547,103,47.1,6.74,2.23,6.18,3.51,18.9,24.3,2.29,10.8,19.8,52.1,10.1,Adult,Male,2003,4.8,1020,197700,234700,EA Wales,Wales
4.093,322,200,0.5,16.4,44.2,32.4,200,252,24.7,97,180,193,37.5,Adult,Male,2004,10.5,1225,310400,174500,EA Wales,Wales
3.722,198,208,35.7,22.1,73.5,31,306,497,21.4,79.9,224,169,40.6,Adult,Female,2004,9.2,1120,220000,230000,EA Wales,Wales
4.639,117,757,96.1,35.1,205,35.2,307,513,51.8,90.4,222,57.9,57.6,Adult,Female,2004,0.85,550,356000,574000,North West Region,England
3.525,124,355,0.5,13.2,39.9,21.4,131,172,16.3,64.7,126,139,41,Adult,Male,2004,10,1240,246700,350000,EA Wales,Wales
3.982,194,219,0.5,5.41,,9,56.6,,4.52,,29.2,66.3,35.7,Adult,Female,2004,7.7,1060,330000,200000,EA Wales,Wales
3.557,234,557,0.5,10.6,47.8,23,135,188,14.9,48.4,80.6,166,43.2,Adult,Female,2004,6.2,1050,419700,610600,North East Region,England
3.839,3.45,15.9,0.5,8.28,16.5,18.7,,,15,,88.2,,34.6,Adult,Female,2004,5.5,1030,376500,260000,Midlands Region,England
3.696,262,331,47.6,3.94,10.9,10.7,66.8,82.7,9.39,54.9,96.9,89.8,24.1,Adult,Male,2004,6,1000,354600,240700,EA Wales,England
3.598,322,264,71.9,14.9,43.6,38.2,206,210,38,79.6,154,131,29.2,Adult,Female,2004,9.2,1230,330400,360200,EA Wales,Wales
3.673,214,395,6.77,6.93,22.4,8.5,66.6,82.7,7.81,18.6,53.7,23.9,7.2,Adult,Male,2004,4.6,1090,197500,194400,EA Wales,Wales
2.465,86.2,157,23.7,4.06,10.7,5.89,27.5,34.5,5.09,13.8,27.3,21.9,13.2,Subadult,Female,2004,7.2,1070,,,Midlands Region,England
4.085,72.9,36.3,5.12,0.5,2.73,1.22,7.36,11.1,1.58,4.67,10.8,6.67,4.19,Subadult,Female,2004,4.8,960,353000,317000,Midlands Region,England
3.501,40.5,36.5,4.29,22.2,3.28,2.61,0.5,24.3,2.96,14.2,27.5,13.3,3.89,Subadult,Male,2004,3.8,900,263800,275600,EA Wales,Wales
3.778,19.1,33.6,4.42,2.38,7.39,2.47,17.1,23,1.74,3.53,10.9,20.7,10.5,Adult,Female,2004,8.7,1240,335500,376700,North West Region,England
2.975,311,268,0.5,17.7,60.2,23.8,130,130,25.7,56.9,78.9,80.5,32.6,Adult,Male,2004,5.8,1020,399300,219800,Midlands Region,England
6.038,262,90.3,52,1.08,3.18,1.81,13.4,19.6,2.02,11.6,27.7,26.5,9.44,Adult,Male,2004,6.6,1070,302700,266200,EA Wales,Wales
4.739,121,292,66.1,7.64,22.8,10.9,138,90.5,10.6,35,54.4,62.6,26.4,Adult,Female,2004,9.2,1070,494667,481593,North East Region,England
4.376,44.5,105,0.5,6.02,17.5,5.92,30.2,36.3,5.25,11.9,22.1,28.2,10.9,Adult,Male,2004,6.6,1080,649800,300800,Anglian Region,England
3.712,134,361,80.3,6.08,20.3,16.4,118,177,12.2,80,150,279,12.4,Adult,Female,2004,8.7,1140,302000,365000,EA Wales,Wales
