BonePb,dieldrin,dde,tde,pcb105,pcb118,pcb128,pcb138,pcb153,pcb156,pcb170,pcb180,pcb187,hcbenz,Age,Sex,Year,weight,length,xcoord,ycoord,region,country
5.465,87.6,137.9,13.1,20.4,70.2,39.7,211.9,244.5,38.3,82,176.8,52,16.7,Subadult,Male,1995,4.02,980,263450,192550,EA Wales,Wales
5.602,72.8,59,12.1,5,15.4,5.8,38.3,56.8,4.6,15.2,33.6,29.4,8.1,Adult,Female,1995,7.7,1090,257890,249410,EA Wales,Wales
4.766,75.2,46.4,8.2,0.5,,0.5,11.7,18.1,0.5,6.8,12.8,15.5,4,Adult,Male,1995,5.66,980,329050,337210,EA Wales,England
4.697,94.9,31,12.3,0.5,,1,6.2,8.2,0.5,3.5,6.2,3.2,3.2,Adult,Male,1995,5.5,1005,336290,263170,EA Wales,England
7.212,80.9,238.4,9.1,7.4,18.2,9.1,47.4,68.1,8.6,26.5,50.9,49.2,8.4,Adult,Female,1995,9.7,1135,341400,307500,Midlands Region,England
4.094,90.4,138.4,82.2,18.2,37.6,24.3,47.1,54.6,24.1,28.1,54,33.5,6.5,Adult,Male,1995,6.5,1105,317000,286000,Midlands Region,Wales
4.176,116.4,758,33.4,11.8,29.8,11.4,46.5,71.5,9.6,20.2,43,33.7,12.8,Adult,Male,1995,7.86,1185,611100,239900,Anglian Region,England
5.075,421.2,1937.6,120.2,22.8,71.8,55.2,242.1,258.5,44.8,96.1,155,177.7,35.1,Adult,Male,1995,9.1,1021,597389,225477,Anglian Region,England
4.622,752.6,713.1,107.8,30,70.6,29.3,90.1,105.6,15.8,32.3,63,167,132,Subadult,Male,1995,8.22,1105,570600,195900,Anglian Region,England
4.438,93.2,171.2,133.1,8,18,8.8,23.4,34.3,9.2,13.8,26.9,21.9,9.6,Adult,Female,1996,4.32,885,611500,272100,Anglian Region,England
5.111,711.7,408.4,121.2,37.1,86.6,41.3,141.9,144.5,38.6,58.5,106.5,201.8,81.2,Subadult,Female,1996,7.96,1100,387500,233500,Midlands Region,England
4.418,482.4,458.8,76.8,61.4,186.8,137,837.3,1185.7,110.8,364.3,1026.6,616.4,35.8,Adult,Male,1996,8.22,1140,375800,216500,Midlands Region,England
4.212,123.9,160.2,24.2,18.6,43.7,18.3,59.2,78.6,19.8,31.9,64.2,65,28.1,Adult,Male,1996,10.5,1210,422600,244100,Midlands Region,England
5.341,319.5,442.8,241.6,13.1,25,9.1,30.2,37.8,7.7,11.6,22.8,39.3,19,Adult,Female,1996,9.34,1150,473400,109000,Southern Region,England
4.341,307.2,271.1,51.3,4,11.4,6.8,44,82.9,7.5,31.5,61.8,27.4,12.4,Subadult,Female,1996,8.4,1190,303400,260800,EA Wales,Wales
5.464,135.8,269.2,39.8,4.5,11.7,3.8,26.7,39.6,5.2,14.8,25.3,27.2,12.8,Adult,Male,1996,9,1100,302100,227300,EA Wales,Wales
6.112,187,91.6,17.7,8,21.2,9.1,38.9,52.8,10.1,31.8,48.6,29.9,19.8,Adult,Male,1996,6.4,1075,358400,155100,South West Region,England
5.075,30.8,62.9,10.1,8,17,8.4,27.8,37.6,9,14.6,28.6,19.8,11.2,Adult,Female,1996,7.58,1130,319400,538200,North West Region,England
6.849,37.6,58.5,15.4,4.8,12.1,5.2,18.7,29,5.9,10.2,19.8,11.5,12.2,Subadult,Female,1996,6.2,1050,338800,527200,North West Region,England
4.084,9.575,20.5,0.5,3.35,8.5,3.95,37.85,33.95,3.8,10.075,19.275,27.475,3.23,Subadult,Female,1996,8.32,1065,290700,90500,South West Region,England
